filename,pdf_path,pdf_type,input_tokens,output_tokens,api_latency,total_cost,accuracy
31365_png.rf.c15a4717175cda5927fce37d6fb4061f,input/pdfs/31365_png.rf.c15a4717175cda5927fce37d6fb4061f.pdf,scanned,312,410,8.131221055984497,0.0001952,1.0
40641_png.rf.289e8e68a7e3e47893ece6052ab9f857,input/pdfs/40641_png.rf.289e8e68a7e3e47893ece6052ab9f857.pdf,scanned,312,892,11.615386724472046,0.000388,1.0
36589_png.rf.ba276e6af890cc4fef150947783b2c51,input/pdfs/36589_png.rf.ba276e6af890cc4fef150947783b2c51.pdf,scanned,312,466,9.336700201034546,0.0002176,0.9026570320129395
16584_png.rf.022f6af71da30754f18c45510664b3e2,input/pdfs/16584_png.rf.022f6af71da30754f18c45510664b3e2.pdf,scanned,312,538,9.511033296585085,0.0002464,0.5325838923454285
3066_png.rf.a271ccaade01ec4a7e1fe75ebb98ecd8,input/pdfs/3066_png.rf.a271ccaade01ec4a7e1fe75ebb98ecd8.pdf,scanned,312,213,5.650353908538818,0.0001164,1.0
6464_png.rf.87df45257826205d38fd0f5e450da5d8,input/pdfs/6464_png.rf.87df45257826205d38fd0f5e450da5d8.pdf,scanned,312,478,10.194308996200562,0.0002223999999999,0.9975071549415588
14587_png.rf.8ac51dfae9c3323be54341df80559ffc,input/pdfs/14587_png.rf.8ac51dfae9c3323be54341df80559ffc.pdf,scanned,312,1626,19.737327098846436,0.0006816,0.7938059568405151
14362_png.rf.2bb01ec418e7c78fe2a51e277487af9d,input/pdfs/14362_png.rf.2bb01ec418e7c78fe2a51e277487af9d.pdf,scanned,312,1287,13.786098003387451,0.0005459999999999,0.8539682626724243
9242_png.rf.34330bf09a0fd4ea3aef1800c4e8296b,input/pdfs/9242_png.rf.34330bf09a0fd4ea3aef1800c4e8296b.pdf,scanned,312,447,9.868136167526243,0.0002099999999999,0.9549222588539124
14360_png.rf.f869f1e65ad14b3495c2c32977b70ba5,input/pdfs/14360_png.rf.f869f1e65ad14b3495c2c32977b70ba5.pdf,scanned,312,197,6.975608110427856,0.0001099999999999,0.8328598737716675
13890_png.rf.0a30631cfb2c9c9e6d440fb44f6de38b,input/pdfs/13890_png.rf.0a30631cfb2c9c9e6d440fb44f6de38b.pdf,scanned,312,862,11.407560110092165,0.000376,0.34475216269493103
